key,text,imageUrl
meta.title,Juliére Beauty | Moderné kozmetické štúdio,
meta.titleReviews,Juliére Beauty | Recenzie,
meta.descriptionReviews,Recenzie a referencie klientov  kozmetické štúdio Juliére Beauty.,
meta.titleBooking,Juliére Beauty | Online rezervácia,
meta.descriptionBooking,Rezervujte si termín na líčenie  zvoľte službu a voľný čas.,
meta.titleBridalLanding,Svadobné líčenie Bratislava | Juliére Beauty,
meta.descriptionBridalLanding,"Svadobné líčenie v Bratislave od vizážistky Julia — individuálny look, profesionálna kozmetika a dlhá výdrž. Voliteľná skúška. Štúdio Juliére Beauty, Račianska 66.",
bridalLanding.faq.q1,Koľko stojí svadobné líčenie v Bratislave?,
bridalLanding.faq.a1,Svadobné líčenie v štúdiu Juliére Beauty stojí 45 EUR (trvanie približne 75 minút). Samostatná skúška svadobného líčenia je tiež za 45 EUR (cca 90 minút). Pri dojazde k vám sa účtuje cestovné podľa km — kompletný cenník nájdete na hlavnej stránke v sekcii Služby.,
bridalLanding.faq.q2,Kedy si rezervovať termín?,
bridalLanding.faq.a2,"Pri obľúbených svadobných termínoch odporúčam rezerváciu niekoľko mesiacov vopred. Ak chcete skúšku, naplánujte ju približne 4–8 týždňov pred svadbou, aby sme stihli doladiť detaily. Termín v deň svadby zladíme s prípravou, obradom a fotením.",
bridalLanding.faq.q3,Je skúška svadobného líčenia potrebná?,
bridalLanding.faq.a3,"Nie je povinná, no odporúčam ju — uvidíte presné odtiene, finiš a výdrž na svojej pleti a v deň D už len doladíme detaily bez zbytočného stresu.",
bridalLanding.faq.q4,Ako dlho vydrží svadobný makeup?,
bridalLanding.faq.a4,"S profesionálnou dlhotrvácou kozmetikou a správnou prípravou pleti je look nastavený na celý deň — od prípravy cez obrad a fotenie až po večernú zábavu. Dôraz kladiem na pleť, ktorá dobre vyzerá na fotkách, a na líčenie, ktoré zostáva svieže s minimálnymi úpravami.",
bridalLanding.faq.q5,Dochádzate aj mimo Bratislavy?,
bridalLanding.faq.a5,Áno — pri líčení minimálne štyroch osôb viem prísť aj k vám. Cestovné sa účtuje podľa vzdialenosti od štúdia na Račianskej 66 v Bratislave. Pri individuálnych termínoch sa teším na vás priamo v štúdiu.,
bridalLanding.faq.q6,Aké produkty používate?,
bridalLanding.faq.a6,"Pracujem s profesionálnou kozmetikou zameranou na výdrž, komfort a prirodzený vzhľad pred objektívom — podklady, púdra, fixátory a pigmenty vhodné na dlhý svadobný deň. Výber prispôsobím typu pleti a vašim preferenciám.",
home.instagram.eyebrow,Instagram,
home.instagram.h2,Juliére Beauty na Instagrame,
home.instagram.followLink,Sledovať @julierebeauty,
home.instagram.carouselAria,Instagram príspevky — posúvajte vodorovne,
home.instagram.embed.1,https://www.instagram.com/julierebeauty/reel/DZp7beuMw3U/,
home.instagram.embed.2,,
home.instagram.embed.3,,
meta.description,Juliére Beauty  elegantné vizážistické štúdio.,
sheet.loading,Načítavam…,
hero.carouselAria,Juliére Beauty,
hero.slide1.alt,"Portrét  profesionálny makeup look, Juliére Beauty",https://drive.google.com/file/d/1dmwb4VGptNCP5Xf7BugQ5-vwgBTq5frR/view?usp=sharing
hero.slide1.caption,Vybraný portrét pre Juliére Beauty,
hero.slide2.alt,Luxusné produkty na líčenie  štúdio Juliére Beauty,
hero.slide2.caption,,
hero.slide3.alt,"Portrét  soft glam makeup, Juliére Beauty",https://drive.google.com/file/d/10B39egNR4lX5y7QGMDljANeU507uuAvT/view?usp=sharing
hero.slide3.caption,Portrét s profesionálnym makeup lookom,
hero.tagline,Moderné kozmetické štúdio,
hero.prevSlide,Predchádzajúci snímok,
hero.nextSlide,Ďalší snímok,
hero.chooseSlide,Výber snímku,
hero.scroll,Scroll,
header.brandAria,Domov Juliére Beauty,
header.brandPrimary,Juliére,
header.brandSecondary,Beauty,
header.openMenu,Otvoriť menu,
header.closeMenu,Zavrieť menu,
header.navMain,Hlavná navigácia,
nav.about,O mne,
nav.portfolio,Portfólio,
nav.prices,Služby + Cenník,
nav.reviews,Recenzie,
nav.beforeVisit,Pred termínom,
nav.contact,Kontakt,
nav.booking,Rezervácia,
nav.faq,Q&A,
intro.text,Zvýrazni svoju krásu.,
intro.portfolio,Pozrieť portfólio,
intro.book,Rezervovať termín,
stats.years,8+ rokov,
stats.yearsDesc,skúseností,
stats.sessions,,
stats.sessionsDesc,,
stats.rating,Recenzie,
stats.ratingDesc,,
about.eyebrow,O mne,
about.h2,Minimalistické a prispôsobené Vašej jedinečnosti.,
about.statsAria,Prehľad,
about.photoAlt,Julia  vizážistka Juliére Beauty,
about.p1,"Vitajte! Volám sa Julia a makeup je moja vášeň už viac ako 8 rokov. Líčim svadby, plesy, stužkové, fotenia aj špeciálne príležitosti.",
about.p2,"Verím, že každá žena je krásna a mojím cieľom je túto krásu len jemne zvýrazniť, aby ste sa cítili sebavedomo a sama sebou. Budem sa na Vás tešiť!",
portfolio.eyebrow,Portfólio,
portfolio.h2,Moja tvorba,
portfolio.carouselAria,Portfólio  prehliadka lookov,
portfolio.bridal.label,PRED&PO,
portfolio.bridal.p,Premeny líčení.,
portfolio.soft.label,Nevesty,
portfolio.soft.p,Svadobné líčenia.,
portfolio.editorial.label,Extravagantné líčenia,
portfolio.editorial.p,Výrazné líčenie či líčenie na Halloween.,
portfolio.evening.label,Úprava a laminácia obočia,
portfolio.evening.p,Hotové práce.,
portfolio.gallery.openSuffix,Otvoriť fotogalériu,
portfolio.gallery.close,Zatvoriť galériu,
portfolio.gallery.fullscreenOpen,Otvoriť fotku na celú obrazovku,
portfolio.gallery.fullscreenClose,Zatvoriť zobrazenie na celú obrazovku,
portfolio.gallery.lightboxAria,Fotografia na celú obrazovku,
portfolio.gallery.fullscreenPrev,Predchádzajúca fotografia,
portfolio.gallery.fullscreenNext,Ďalšia fotografia,
portfolio.gallery.bridal.1,Svadobné líčenie  portrét,
portfolio.gallery.bridal.2,Svadobné líčenie  portrét soft glam,
portfolio.gallery.bridal.3,Profesionálne produkty na svadobné líčenie,
portfolio.gallery.bridal.4,Svadobné líčenie  portrét,
portfolio.gallery.bridal.5,Svadobné líčenie  portrét soft glam,
portfolio.gallery.bridal.6,Svadobné líčenie  portrét,
portfolio.gallery.soft.1,Soft glam  portrét,
portfolio.gallery.soft.2,Soft glam  beauty portrét,
portfolio.gallery.soft.3,Produkty na soft glam,
portfolio.gallery.soft.4,,
portfolio.gallery.soft.5,Soft glam  portrét,
portfolio.gallery.editorial.1,Editoriálna krása  produkty,
portfolio.gallery.editorial.2,Editoriálne čisté líčenie  portrét,
portfolio.gallery.editorial.3,,
portfolio.gallery.editorial.4,,
portfolio.gallery.editorial.5,Extravagantné líčenie  portrét,
portfolio.gallery.evening.1,Večerné líčenie  portrét,
portfolio.gallery.evening.2,Večerný luxus  portrét,
portfolio.gallery.evening.3,Večerný look  produkty,
portfolio.gallery.evening.4,,
portfolio.gallery.evening.5,,
portfolio.gallery.bridal.caption1, ,
portfolio.gallery.bridal.caption2, ,
portfolio.gallery.bridal.caption3,,
portfolio.gallery.bridal.caption4,"Detailný finiš, ktorý pôsobí prirodzene v dennom svetle.",
portfolio.gallery.bridal.caption5,Jemná kontúra a žiariaca pleť na pokojný okamih pri oltári.,
portfolio.gallery.bridal.caption6,"Jemná definícia a prirodzený lesk, ktorý sa celý deň krásne fotí.",
portfolio.gallery.soft.caption1,,
portfolio.gallery.soft.caption2,,
portfolio.gallery.soft.caption3,,
portfolio.gallery.soft.caption4,"Presné nanášanie s ľahkým, nositeľným vyvážením.",
portfolio.gallery.soft.caption5,"Večerný šmrnc, ktorý stále pôsobí jemne a prirodzene.",
portfolio.gallery.editorial.caption1,,
portfolio.gallery.editorial.caption2,,
portfolio.gallery.editorial.caption3,Grafická linka a negatívny priestor pre ostrý editoriálny rám.,
portfolio.gallery.editorial.caption4,Kontrolovaná textúra a lesk pre kontrast pripravený na tlač.,
portfolio.gallery.editorial.caption5,Editoriál s dôrazom na pleť a modelované líca a pery.,
portfolio.gallery.evening.caption1,,
portfolio.gallery.evening.caption2,,
portfolio.gallery.evening.caption3,,
portfolio.gallery.evening.caption4,Smoky hĺbka s vyváženým priestorom viečka pri tlmenom svetle.,
portfolio.gallery.evening.caption5,"Výrazné oči a zamatová pleť, ktorá vydrží celú noc.",
portfolio.gallery.bridal.tag1,,
portfolio.gallery.bridal.tag2,,
portfolio.gallery.bridal.tag3,,
portfolio.gallery.bridal.tag4,@lucia.p,
portfolio.gallery.bridal.tag5,@tereza.v,
portfolio.gallery.bridal.tag6,@nina.m,
portfolio.gallery.soft.tag1,,
portfolio.gallery.soft.tag2,,
portfolio.gallery.soft.tag3,,
portfolio.gallery.soft.tag4,@elena.k,
portfolio.gallery.soft.tag5,@sophia,
portfolio.gallery.editorial.tag1,,
portfolio.gallery.editorial.tag2,,
portfolio.gallery.editorial.tag3,@sophia,
portfolio.gallery.editorial.tag4,@nina.m,
portfolio.gallery.editorial.tag5,@tereza.v,
portfolio.gallery.evening.tag1,,
portfolio.gallery.evening.tag2,,
portfolio.gallery.evening.tag3,,
portfolio.gallery.evening.tag4,@elena.k,
portfolio.gallery.evening.tag5,@julia.studio,
prices.eyebrow,Cenník,
prices.h2,Služby,
prices.signature.tag,Najžiadanejšie,
prices.signature.h3,Spoločenské líčenie,
prices.signature.p,"Spoločenské líčenie je ideálne na plesy, stužkové, oslavy či iné špeciálne príležitosti. ",
prices.bridal.h3,Svadobné líčenie,
prices.bridal.p,Cítťe sa vo svoj veľký deň výnimočne! ,
prices.trial.h3,Skúška líčenia,
prices.trial.p,"Spoločne doladíme líčenie presne podľa Vašich predstáv, aby ste v deň udalosti tak mali istotu dokonalého výsledku – bez stresu. ",
prices.lesson.h3,Kurz sebalíčenia,
prices.lesson.p,Coming soon,
prices.travel.h3,Cestovné náklady,
prices.travel.p,Dojazd k vám cena podľa vzdialenosti od salónu na Račianskej 66.,
prices.brows.h3,Úprava obočia a laminácia,
prices.brows.p,"Tvarované obočie, voliteľné farbenie a laminácia pre plnší oblúk s minimálnou údržbou.",
prices.shoot.h3,Líčenie na fotenie,
prices.shoot.p,"Vyvážená pleť a líčenie pod svetlá a blesk  štúdio, branding alebo portfólio.",
prices.carouselAria,Cenník a služby  prehľad balíčkov,
reviews.carouselAria,,
beforeVisit.carouselAria,Pred termínom  tipy,
prices.detail.openSuffix,Otvoriť podrobnosti služby,
prices.detail.close,Zatvoriť podrobnosti,
prices.signature.price,40 EUR,
prices.bridal.price,45 EUR,
prices.trial.price,45 EUR,
prices.lesson.price,75 EUR,
prices.travel.price,"0,25 EUR/km",
prices.brows.price,,
prices.shoot.price,,
prices.signature.duration,Trvanie: cca 60 minút,
prices.bridal.duration,Trvanie: cca 75 minút,
prices.trial.duration,Trvanie: cca 90 minút,
prices.lesson.duration,Trvanie: cca 4 hodiny,
prices.travel.duration,Min. 4 osoby,
prices.brows.duration,,
prices.shoot.duration,,
prices.signature.detail,  ,
prices.bridal.detail,  ,
prices.trial.detail,  ,
prices.lesson.detail,  ,
prices.travel.detail,Cestujem za klientkami pri objednávkach minimálne pre 4 osoby. Cestovné sa počíta z môjho salónu na Račianskej 66 k vám a späť.  Pred rezerváciou mi napíšte adresu a počet osôb potvrdím celkovú sumu.,
prices.brows.detail,,
prices.shoot.detail,,
reviews.eyebrow,,
reviews.h2,,
reviews.c1.pill,,
reviews.c1.h3,,
reviews.c1.p,,
reviews.c2.pill,,
reviews.c2.h3,,
reviews.c2.p,,
reviews.c3.pill,,
reviews.c3.h3,,
reviews.c3.p,,
reviews.c4.pill,,
reviews.c4.h3,,
reviews.c4.p,,
beforeVisit.eyebrow,Pred termínom,
beforeVisit.h2,"Pár tipov, nech všetko prebehne hladko",
beforeVisit.t1.pill,Pleť,
beforeVisit.t1.h3,Príďte s čistou tvárou,
beforeVisit.t1.p,"Ak sa dá, bez mejkapu a bez ťažkých krémov tesne pred vizitou.",
beforeVisit.t2.pill,Inšpirácia,
beforeVisit.t2.h3,Vezmite referencie,
beforeVisit.t2.p,"Pár obľúbených fotiek pomôže zladiť intenzitu, tón a finiš.",
beforeVisit.t3.pill,Oblečenie,
beforeVisit.t3.h3,Výstrih a doplnky,
beforeVisit.t3.p,"Oblečte sa alebo vezmite niečo blízke outfitu z udalosti, nech ladí líčenie.",
beforeVisit.t4.pill,Čas,
beforeVisit.t4.h3,Rezerva navyše,
beforeVisit.t4.p,"Kvalitná vizáž chce čas  počítajte s pár minútami navyše, aby sme nič nenáhlili.",
faq.eyebrow,Q&A,
faq.h2,Často kladené otázky,
faq.q1,Ako si rezervujem termín?,
faq.a1,"Na rezerváciu termínu môžete využiť rezervačný systém priamo na stránke, prípadne ma môžete kontaktovať aj na mojich sociálnych sieťach, či telefonicky. V prípade využitia rezervačného systému počkajte na potvrdenie termínu.",
faq.q2,Môžem zmeniť alebo zrušiť rezerváciu?,
faq.a2,Zmenili sa Vám plány? Nič sa nedeje. Ohľadom zmien v termíne či storna rezervácie ma prosím čím skôr informujte a spolu doladíme úpravy. :)                                             * V prípade storna termínu menej ako 24h pred termínom sa hradí 100% z ceny líčenia. ,
faq.q3,Potrebujem skúšobné líčenie na svadbu?,
faq.a3,"Nie je povinný. Odporúčam ho však, aby ste si boli istá, že v deň D prebehne celý proces líčenia podľa Vašich predstáv.",
faq.q4,Cestuješ aj za klientkami?,
faq.a4,"Áno, avšak cestujem za klientkami v prípade líčenia minimálne 4 osôb. Cestovné náklady nájdete v mojom cenníku. V opačnom prípade sa na Vás budem tešiť v mojom salóne na Račianskej 66. :)",
service.signature,Spoločenské líčenie,
service.bridal,Svadobné líčenie,
service.trial,Skúška líčenia,
service.lesson,Kurz sebalíčenia,
service.brows,,
service.shoot,,
booking.eyebrow,Rezervácia,
booking.h2,Vyberte voľný termín,
booking.intro,Vyberte voľný termín v kalendári a nižšie doplňte údaje.,
booking.rulesTitle,Pravidlá rezervácie,
booking.ruleStudio,Rezervácie cez tento formulár sú len na termíny v štúdiu. Pre iné miesto nás kontaktujte priamo.,
booking.ruleVerify,"Rezervácia je iba žiadosť, kým neoveríte e-mail a štúdio ju neschváli.",
booking.ruleEmailExpiry,Overovací odkaz v e-maile je platný 30 minút.,
booking.ruleContact,"Použite skutočný e-mail a telefónne číslo, aby sme vás vedeli kontaktovať.",
booking.ruleCancel,Potvrdenú rezerváciu môžete zrušiť cez odkaz v e-maile najneskôr 24 hodiny pred termínom.,
booking.serviceFirst,Ktorú službu chcete?,
booking.chooseServiceFirst,"Vyberte službu, aby sa zobrazili voľné dátumy a časy.",
booking.noSlotsForService,Pre túto službu zatiaľ nie sú voľné termíny  skúste inú službu alebo nás kontaktujte.,
booking.configNeeded,Pridajte URL webovej aplikácie do súboru assets/js/config.js (bookingScriptUrl).,
booking.slotsLoading,Načítavam voľné termíny…,
booking.slotsEmpty,Momentálne nie sú voľné termíny  skúste neskôr alebo nás kontaktujte priamo.,
booking.slotsError,Nepodarilo sa načítať dostupnosť. Skúste znova neskôr.,
booking.slotsHint,Vyberte čas pre zvolený deň.,
booking.pickDate,Vyberte dátum.,
