key	text
meta.title	Juliere Beauty | Modern Beauty Studio
meta.description	Juliere Beauty — elegant makeup studio with portfolio, pricing, booking, and reservations.
hero.carouselAria	Juliere Beauty
hero.slide1.alt	Portrait — professional makeup look, Juliere Beauty
hero.slide1.caption	Featured portrait for Juliere Beauty
hero.slide2.alt	Luxury makeup products — Juliere Beauty studio
hero.slide2.caption	Flat lay of professional makeup products
hero.slide3.alt	Portrait — soft glam makeup, Juliere Beauty
hero.slide3.caption	Portrait with professional makeup look
hero.tagline	Modern beauty studio
hero.prevSlide	Previous slide
hero.nextSlide	Next slide
hero.chooseSlide	Choose slide
hero.scroll	Scroll
header.brandAria	Juliere Beauty home
header.brandPrimary	Juliere
header.brandSecondary	Beauty
header.openMenu	Open menu
header.closeMenu	Close menu
header.navMain	Main
nav.about	About
nav.portfolio	Portfolio
nav.prices	Prices & services
nav.reviews	Reviews
nav.beforeVisit	Before your appointment
nav.contact	Contact
nav.faq	Q&A
intro.text	Soft glam, timeless bridal looks, and polished beauty experiences — reserve your date online.
intro.reserve	Reserve now
intro.portfolio	View portfolio
stats.years	8+ years
stats.yearsDesc	professional artistry experience
stats.sessions	300+
stats.sessionsDesc	beauty sessions completed
stats.rating	4.9/5
stats.ratingDesc	average from client reviews
about.eyebrow	About Julia
about.h2	About me
about.statsAria	About highlights
about.photoAlt	Julia — Juliere Beauty makeup artist
about.p1	Julia is a makeup artist focused on fresh skin, elegant detail, and makeup that looks as beautiful in person as it does in photos. Every appointment is tailored to the client, from subtle everyday polish to full bridal glam.
about.p2	Browse services and pricing, then reserve online — from first click to your appointment, everything stays clear and calm.
portfolio.eyebrow	Portfolio
portfolio.h2	Recent beauty work
portfolio.bridal.label	Bridal glow
portfolio.bridal.p	Radiant skin, soft shimmer, and romantic definition for a timeless wedding finish.
portfolio.soft.label	Soft glam
portfolio.soft.p	Balanced glam with polished brows, sculpted complexion, and diffused eyes.
portfolio.editorial.label	Editorial clean
portfolio.editorial.p	Fresh, modern beauty with intentional texture and understated luxury.
portfolio.evening.label	Evening luxe
portfolio.evening.p	Defined eyes, glowing skin, and long-wear artistry for special events.
prices.eyebrow	Pricing & services
prices.h2	Packages tailored to your occasion
prices.signature.tag	Most requested
prices.signature.h3	Signature Makeup
prices.signature.p	Perfect for events, dinners, celebrations, and polished day-to-night beauty.
prices.bridal.h3	Bridal Makeup
prices.bridal.p	Includes consultation, long-wear application, and bridal-day beauty planning.
prices.trial.h3	Trial Session
