key,text,imageUrl
meta.title,Juliére Beauty | Modern makeup studio,
meta.description,Juliére Beauty an elegant makeup studio.,
meta.titleReviews,Juliére Beauty | Reviews,
meta.descriptionReviews,Client reviews and testimonials  Juliére Beauty makeup studio.,
meta.titleBooking,Juliére Beauty | Book online,
meta.descriptionBooking,Reserve a makeup appointment  choose a service and pick an available time.,
meta.titleBridalLanding,Bridal Makeup Bratislava | Juliére Beauty,
meta.descriptionBridalLanding,"Professional bridal makeup in Bratislava — tailored looks, long-wear products and optional trial. Book at Juliére Beauty studio.",
bridalLanding.faq.q1,How much does bridal makeup cost in Bratislava?,
bridalLanding.faq.a1,Bridal makeup at Juliére Beauty is 45 EUR (about 75 minutes in the studio). A separate trial session is also 45 EUR (about 90 minutes). Travel for on-location work is charged per km — see the full price list on the homepage.,
bridalLanding.faq.q2,When should I book my wedding makeup appointment?,
bridalLanding.faq.a2,"For popular wedding dates I recommend booking several months ahead. If you want a trial, schedule it roughly 4–8 weeks before the wedding so we have time to adjust the look. The wedding-day slot is planned around your ceremony and photos.",
bridalLanding.faq.q3,Is a bridal makeup trial necessary?,
bridalLanding.faq.a3,"It is not mandatory, but I recommend it — you will see the exact colours, finish and wear on your skin, and we can fine-tune details without stress on the wedding day.",
bridalLanding.faq.q4,How long does wedding makeup last?,
bridalLanding.faq.a4,"With professional long-wear products and proper prep, the look is built to last from preparation through the ceremony, photos and celebration. I focus on skin that photographs well and makeup that stays fresh with minimal touch-ups.",
bridalLanding.faq.q5,Do you travel outside Bratislava?,
bridalLanding.faq.a5,Yes — I can come to you for on-location bridal makeup when booking makeup for at least four people. Travel is charged per kilometre from the studio on Račianska 66. For individual appointments I welcome you at the Bratislava studio.,
bridalLanding.faq.q6,What products do you use?,
bridalLanding.faq.a6,"I work with professional brands chosen for longevity, comfort and a natural finish on camera — foundations, powders, setting sprays and pigments suited to long wedding days. Products are selected individually for your skin type and preferences.",
home.instagram.eyebrow,Instagram,
home.instagram.h2,On Instagram,
home.instagram.followLink,Follow @julierebeauty,
home.instagram.carouselAria,Instagram posts — swipe horizontally,
