key	text
meta.title	Juliere Beauty | Moderné kozmetické štúdio
meta.description	Juliere Beauty — elegantné vizážistické štúdio s portfóliom, cenníkom, rezerváciou a prehľadom termínov.
hero.carouselAria	Juliere Beauty
hero.slide1.alt	Portrét — profesionálny makeup look, Juliere Beauty
hero.slide1.caption	Vybraný portrét pre Juliere Beauty
hero.slide2.alt	Luxusné produkty na líčenie — štúdio Juliere Beauty
hero.slide2.caption	Ploché zátišie profesionálnych produktov na líčenie
hero.slide3.alt	Portrét — soft glam makeup, Juliere Beauty
hero.slide3.caption	Portrét s profesionálnym makeup lookom
hero.tagline	Moderné kozmetické štúdio
hero.prevSlide	Predchádzajúci snímok
hero.nextSlide	Ďalší snímok
hero.chooseSlide	Výber snímku
hero.scroll	Ďalej
header.brandAria	Domov Juliere Beauty
header.brandPrimary	Juliere
header.brandSecondary	Beauty
header.openMenu	Otvoriť menu
header.closeMenu	Zavrieť menu
header.navMain	Hlavná navigácia
nav.about	O mne
nav.portfolio	Portfólio
nav.prices	Cenník a služby
nav.reviews	Recenzie
nav.beforeVisit	Pred termínom
nav.contact	Kontakt
nav.faq	Q&A
intro.text	Soft glam, nadčasové svadobné líčenia a prémiové beauty zážitky — rezervujte si termín online.
intro.reserve	Rezervovať teraz
intro.portfolio	Pozrieť portfólio
stats.years	8+ rokov
stats.yearsDesc	profesionálnej praxe
stats.sessions	300+
stats.sessionsDesc	dokončených vizáží
stats.rating	4,9/5
stats.ratingDesc	priemer z recenzií klientov
about.eyebrow	O Julii
about.h2	O mne
about.statsAria	Prehľad
about.photoAlt	Julia — vizážistka Juliere Beauty
about.p1	Julia je vizážistka zameraná na sviežu pleť, elegantné detaily a líčenie, ktoré je krásne naživo aj na fotkách. Každá vizitka je šitá na mieru — od jemného denného líčenia až po plný svadobný glam.
about.p2	Prezrite si služby a cenník, rezervujte online — od prvého kliku až po vizitku je všetko prehľadné a pokojné.
portfolio.eyebrow	Portfólio
portfolio.h2	Nedávna tvorba
portfolio.bridal.label	Svadobný rozžiarený look
portfolio.bridal.p	Žiariaca pleť, jemný trblietavý efekt a romantická definícia pre nadčasový svadobný finiš.
portfolio.soft.label	Soft glam
portfolio.soft.p	Vyvážený glam s upravenými obočiami, modelovanou pleťou a rozostrenými očami.
portfolio.editorial.label	Editoriálne čisté
portfolio.editorial.p	Svieža moderná krása s úmyselnou textúrou a decentným luxusom.
portfolio.evening.label	Večerný luxus
portfolio.evening.p	Definované oči, žiariaca pleť a dlhotrvajúca vizáž na špeciálne príležitosti.
prices.eyebrow	Cenník a služby
prices.h2	Balíčky podľa príležitosti
prices.signature.tag	Najžiadanejšie
prices.signature.h3	Signature makeup
prices.signature.p	Ideálne na akcie, večere, oslavy a vybrané líčenie od dňa po večer.
prices.bridal.h3	Svadobné líčenie
prices.bridal.p	Zahŕňa konzultáciu, dlhotrvajúcu aplikáciu a plánovanie beauty looku na svadobný deň.
prices.trial.h3	Skúšobné líčenie
prices.trial.p	Otestujte a doladte preferovaný look pred veľkou udalosťou alebo svadbou.
prices.lesson.h3	Individuálna lekcia líčenia 1:1
prices.lesson.p	Osobné odporúčania produktov a postup kroku za krokom na mieru.
reviews.eyebrow	Recenzie
reviews.h2	Čo hovoria klientky
reviews.carouselAria	Recenzie klientok — prehľad
beforeVisit.carouselAria	Pred termínom — tipy
reviews.c1.pill	Svadba
reviews.c1.h3	Sophia K.
reviews.c1.p	Pokojná, precízna práca a líčenie vydržalo celý deň aj noc.
reviews.c2.pill	Udalosť
reviews.c2.h3	Nina M.
reviews.c2.p	Presne taký soft glam som chcela — prirodzené naživo, krásne na fotkách.
reviews.c3.pill	Lekcia
reviews.c3.h3	Tereza V.
reviews.c3.p	Lekcia 1:1 mi konečne dala zrozumiteľný každodenný postup.
reviews.c4.pill	Skúška
reviews.c4.h3	Lucia P.
reviews.c4.p	Skúška pred svadbou nám dala čas všetko doladiť — v deň D žiadny stres.
beforeVisit.eyebrow	Pred termínom
beforeVisit.h2	Pár tipov, nech všetko prebehne hladko
beforeVisit.t1.pill	Pleť
beforeVisit.t1.h3	Príďte s čistou tvárou
beforeVisit.t1.p	Ak sa dá, bez mejkapu a bez ťažkých krémov tesne pred vizitou.
beforeVisit.t2.pill	Inšpirácia
beforeVisit.t2.h3	Vezmite referencie
beforeVisit.t2.p	Pár obľúbených fotiek pomôže zladiť intenzitu, tón a finiš.
beforeVisit.t3.pill	Oblečenie
beforeVisit.t3.h3	Výstrih a doplnky
beforeVisit.t3.p	Oblečte sa alebo vezmite niečo blízke outfitu z udalosti, nech ladí líčenie.
beforeVisit.t4.pill	Čas
beforeVisit.t4.h3	Rezerva navyše
beforeVisit.t4.p	Kvalitná vizáž chce čas — počítajte s pár minútami navyše, aby sme nič nenáhlili.
faq.eyebrow	Q&A
faq.h2	Často kladené otázky
faq.q1	Ako si rezervujem termín?
faq.a1	Kliknite na „Rezervovať teraz“ vyššie, vyberte dátum a čas v kalendári a odošlite údaje. Julia vás potvrdí.
faq.q2	Môžem zmeniť alebo zrušiť rezerváciu?
faq.a2	Čo najskôr napíšte štúdiu. Ak ste prihlásená na tomto zariadení, zrušiť môžete aj v zozname rezervácií.
faq.q3	Potrebujem skúšobné líčenie na svadbu?
faq.a3	Odporúčame ho, aby bol look pred veľkým dňom doladený — podľa časových možností však môže byť aj voliteľné.
faq.q4	Čo ak mám citlivú pleť?
faq.a4	Uveďte to v poznámke pri rezervácii. Julia používa profesionálne produkty a postup prispôsobí vašim potrebám.
account.eyebrow	Účet a rezervácia
account.h2	Vytvorte si účet a spravujte rezerváciu
account.tabsAria	Karty účtu
account.tabRegister	Registrácia
account.tabLogin	Prihlásenie
account.fullName	Celé meno
account.email	E-mail
account.password	Heslo
account.phName	Julia Klient
account.phEmail	klient@example.com
account.phPasswordCreate	Vytvorte heslo
account.phPasswordEnter	Zadajte heslo
account.createAccount	Vytvoriť účet
account.signIn	Prihlásiť sa
account.signedInPrefix	Prihlásený/á ako
account.logout	Odhlásiť sa
booking.intro	Vyberte voľný termín v kalendári a nižšie doplňte údaje.
cal.prevMonth	Predchádzajúci mesiac
cal.nextMonth	Ďalší mesiac
cal.mo	Po
cal.tu	Ut
cal.we	St
cal.th	Št
cal.fr	Pi
cal.sa	So
cal.su	Ne
cal.noAvailability	Bez voľných termínov
slots.hintNone	Vyberte dátum a zobrazia sa voľné časy.
slots.hintFor	Voľné časy na {{date}}
slots.noOpen	V tento deň nie sú voľné termíny. Vyberte iný dátum.
slots.groupAria	Voľné časové sloty
slots.booked	Obsadené
res.name	Meno
res.email	E-mail
res.service	Služba
res.selectService	Vyberte službu
res.phone	Telefón
res.notes	Poznámky
res.phName	Vaše meno
res.phEmail	Váš e-mail
res.phNotes	Napíšte Julii o príležitosti, štýle alebo preferenciách.
res.submit	Odoslať rezerváciu
service.signature	Signature makeup
service.bridal	Svadobné líčenie
service.trial	Skúšobné líčenie
service.lesson	Individuálna lekcia 1:1
integration.title	Pripravené na Google Sheets
integration.pBefore	Táto stránka je pripravená na backend cez Google Apps Script. URL skriptu pridajte do súboru 
integration.pAfter	 — údaje účtov a rezervácií sa uložia do Google Sheets.
myRes.title	Vaše rezervácie
myRes.ledeBefore	Rezervácie viazané na váš účet na 
myRes.ledeStrong	tomto zariadení
myRes.ledeAfter	. Tu môžete zrušiť rezerváciu a uvoľniť slot v kalendári. Rezervácie z iného prehliadača sa nezobrazia, kým nepribudne serverové API na zoznam.
myRes.listAria	Vaše rezervácie
myRes.empty	Zatiaľ žiadne rezervácie — vyberte dátum a čas vyššie.
myRes.bookingFallback	Rezervácia
myRes.phonePrefix	Tel.:
myRes.cancel	Zrušiť rezerváciu
contact.eyebrow	Kontakt
contact.h2	Ozvite sa ohľadom rezervácií a beauty otázok
contact.studioTitle	Údaje štúdia
contact.hoursTitle	Otváracie hodiny
contact.noteTitle	Poznámka k rezervácii
contact.line1	Bratislava, Slovensko
contact.hours1	Po - Pia: 09:00 - 18:00
contact.hours2	Sobota: 09:00 - 14:00
contact.hours3	Nedeľa: na vyžiadanie
contact.noteP	Pri svadobných termínoch a skupinových rezerváciách si rezervujte včas, aby ste mali preferovaný čas.
contact.mapHeading	Kde nás nájdete
contact.mapTitle	Google mapa — poloha štúdia
contact.pictureAlt	Portrét — Juliere Beauty
footer.brand	Juliere Beauty
footer.socialAria	Sociálne siete
footer.socialInstagram	Instagram
footer.socialFacebook	Facebook
footer.socialX	X
lang.switchAria	Jazyk
lang.en	English
lang.sk	Slovenčina
toast.dismiss	Zavrieť
carousel.slideOf	Snímka {{n}} z {{total}}
toast.bookingNotFound	Túto rezerváciu sa nepodarilo nájsť.
toast.bookingCancelled	Rezervácia bola zrušená. Časový slot je opäť voľný.
toast.accountExists	Účet s týmto e-mailom už existuje.
toast.welcome	Vitajte, {{name}}. Váš účet je pripravený — nižšie si môžete rezervovať termín.
toast.wrongLogin	Nesprávny e-mail alebo heslo.
toast.signedIn	Prihlásený/á ako {{name}}. Vyberte dátum a čas rezervácie.
toast.pickSlot	Vyberte dátum v kalendári a potom časový slot.
toast.slotTaken	Tento termín bol práve obsadený. Vyberte iný čas.
toast.reservationSaved	Rezervácia uložená: {{date}} o {{time}}. Julia čoskoro potvrdí.
toast.signedOut	Boli ste odhlásený/á.
toast.syncFailed	Synchronizácia s Google Sheets zlyhala.
toast.badResponse	Server nevrátil platný JSON. Skontrolujte URL webovej aplikácie a nasadenie Apps Script.
toast.sheetsFailed	Požiadavka do Google Sheets zlyhala.
